seat_num,Area,Points
1373,281077.0,"[(123, 424), (162, 659), (497, 624), (669, 595), (750, 592), (767, 596), (794, 612), (1101, 639), (1142, 471), (1149, 427), (1108, 354), (1102, 319), (918, 318), (804, 330), (665, 323), (531, 314)]"
2108,158996.0,"[(556, 348), (345, 410), (170, 449), (65, 456), (25, 461), (12, 500), (92, 539), (219, 596), (425, 670), (544, 710), (598, 699), (602, 505), (679, 491), (913, 461), (1081, 434)]"
1429,182806.5,"[(230, 419), (150, 515), (106, 548), (25, 570), (27, 644), (385, 614), (772, 570), (1071, 521), (1214, 484), (1218, 446), (1037, 434), (865, 404), (781, 376)]"
2136,263395.0,"[(497, 330), (358, 371), (179, 417), (72, 425), (10, 426), (7, 500), (168, 580), (375, 660), (524, 699), (543, 712), (1078, 617), (1057, 529), (1067, 487), (1065, 452)]"
197,114107.5,"[(118, 500), (105, 562), (54, 582), (14, 585), (18, 630), (462, 610), (727, 601), (935, 574), (1117, 561), (1208, 549), (1206, 520), (996, 502), (850, 497), (724, 490), (705, 481)]"
1007,93086.0,"[(452, 494), (372, 513), (285, 516), (75, 538), (5, 528), (8, 542), (186, 574), (538, 592), (652, 616), (921, 626), (1033, 631), (1168, 624), (1201, 634), (1200, 606), (1110, 581), (1065, 564), (1004, 517)]"
2296,281977.5,"[(331, 299), (198, 385), (105, 463), (9, 555), (10, 673), (11, 746), (294, 679), (503, 635), (655, 601), (807, 570), (959, 537), (1066, 513), (1183, 497), (910, 339), (658, 341), (489, 334)]"
1562,206685.5,"[(323, 407), (225, 464), (148, 512), (64, 542), (20, 547), (13, 610), (237, 607), (275, 629), (480, 625), (1082, 607), (1207, 595), (1209, 523), (1101, 487), (1067, 471), (906, 400)]"
2043,208607.5,"[(452, 362), (337, 425), (229, 483), (133, 499), (75, 530), (68, 547), (130, 558), (400, 604), (556, 622), (792, 629), (958, 633), (1124, 631), (1205, 628), (1207, 562), (1124, 535), (1059, 503), (1029, 464), (1008, 447), (950, 392), (940, 380)]"
747,93561.5,"[(360, 536), (305, 548), (197, 572), (124, 585), (23, 597), (22, 622), (195, 630), (479, 639), (824, 639), (990, 628), (1102, 631), (1209, 624), (1213, 592), (1076, 575), (1014, 558), (945, 546), (901, 539)]"
1416,367748.0,"[(114, 303), (70, 370), (61, 429), (78, 555), (123, 678), (162, 749), (450, 665), (508, 620), (542, 623), (559, 612), (753, 639), (1129, 672), (1143, 522), (1157, 493), (1170, 425), (728, 289)]"
